sample	lane
5MW4CZTZLVAFVE777YJMKAD2WU	L003
5MW4CZTZLVAFVE777YJMKAD2WU	L002
DCTJAP55QRF4TJMJTTOXZ43ELE	L004
DCTJAP55QRF4TJMJTTOXZ43ELE	L001
DCTJAP55QRF4TJMJTTOXZ43ELE	L003
DCTJAP55QRF4TJMJTTOXZ43ELE	L002
DL4EMOYDXRBARG6CHX4IIQP7D4	L004
DL4EMOYDXRBARG6CHX4IIQP7D4	L001
DL4EMOYDXRBARG6CHX4IIQP7D4	L003
DL4EMOYDXRBARG6CHX4IIQP7D4	L002
FZ7SHVMZ2FERVLL6XD46BEPMV4	L004
FZ7SHVMZ2FERVLL6XD46BEPMV4	L001
FZ7SHVMZ2FERVLL6XD46BEPMV4	L003
FZ7SHVMZ2FERVLL6XD46BEPMV4	L002
BI6ARWLZINE3LOH7CZVPHQUMSQ	L004
BI6ARWLZINE3LOH7CZVPHQUMSQ	L001
BI6ARWLZINE3LOH7CZVPHQUMSQ	L003
BI6ARWLZINE3LOH7CZVPHQUMSQ	L002
47KGABWGEZGCRAXFBP6727UYC4	L004
47KGABWGEZGCRAXFBP6727UYC4	L001
47KGABWGEZGCRAXFBP6727UYC4	L003
47KGABWGEZGCRAXFBP6727UYC4	L002
SC62GC3JI5ERXOYZBP6A5L2QDI	L004
SC62GC3JI5ERXOYZBP6A5L2QDI	L001
SC62GC3JI5ERXOYZBP6A5L2QDI	L003
SC62GC3JI5ERXOYZBP6A5L2QDI	L002
KXPJ76QQPND5JONFWY2HMCQHSE	L004
KXPJ76QQPND5JONFWY2HMCQHSE	L001
KXPJ76QQPND5JONFWY2HMCQHSE	L003
KXPJ76QQPND5JONFWY2HMCQHSE	L002
6S6GBR4CDFEY3G6ZL5CF44FUHI	L004
6S6GBR4CDFEY3G6ZL5CF44FUHI	L001
6S6GBR4CDFEY3G6ZL5CF44FUHI	L003
6S6GBR4CDFEY3G6ZL5CF44FUHI	L002
W3V6ELOQARE6LFIJMQNMNLRVZY	L004
W3V6ELOQARE6LFIJMQNMNLRVZY	L001
W3V6ELOQARE6LFIJMQNMNLRVZY	L003
W3V6ELOQARE6LFIJMQNMNLRVZY	L002
P3WH53QODREWBBLC2MB5URN2RM	L004
P3WH53QODREWBBLC2MB5URN2RM	L001
P3WH53QODREWBBLC2MB5URN2RM	L003
P3WH53QODREWBBLC2MB5URN2RM	L002
LIQY3ESPIVAZFC2YLLTUZNX34U	L004
LIQY3ESPIVAZFC2YLLTUZNX34U	L001
LIQY3ESPIVAZFC2YLLTUZNX34U	L003
LIQY3ESPIVAZFC2YLLTUZNX34U	L002
OAVIC5JM6NDYFCRIVHLJ6TVRHE	L004
OAVIC5JM6NDYFCRIVHLJ6TVRHE	L001
OAVIC5JM6NDYFCRIVHLJ6TVRHE	L003
OAVIC5JM6NDYFCRIVHLJ6TVRHE	L002
NX4ADU6KPRFDJGVBB3X4GCTDVE	L004
NX4ADU6KPRFDJGVBB3X4GCTDVE	L001
NX4ADU6KPRFDJGVBB3X4GCTDVE	L003
NX4ADU6KPRFDJGVBB3X4GCTDVE	L002
7ODUBOOQMJDDXLYJHOATIGBJ6A	L004
7ODUBOOQMJDDXLYJHOATIGBJ6A	L001
7ODUBOOQMJDDXLYJHOATIGBJ6A	L003
7ODUBOOQMJDDXLYJHOATIGBJ6A	L002
YXSUH36DUFDYLCOA4AV4MOLTDY	L004
YXSUH36DUFDYLCOA4AV4MOLTDY	L001
YXSUH36DUFDYLCOA4AV4MOLTDY	L003
YXSUH36DUFDYLCOA4AV4MOLTDY	L002
H6QPSWGTD5C7VFQBMRSTKYFAEY	L004
H6QPSWGTD5C7VFQBMRSTKYFAEY	L001
H6QPSWGTD5C7VFQBMRSTKYFAEY	L003
H6QPSWGTD5C7VFQBMRSTKYFAEY	L002
V2RIJZJ27FG75IOE3RWBPV3WEY	L004
V2RIJZJ27FG75IOE3RWBPV3WEY	L001
V2RIJZJ27FG75IOE3RWBPV3WEY	L003
V2RIJZJ27FG75IOE3RWBPV3WEY	L002
5X6JJVJ6SJB3JFPXZF3LTM75DQ	L004
5X6JJVJ6SJB3JFPXZF3LTM75DQ	L001
5X6JJVJ6SJB3JFPXZF3LTM75DQ	L003
5X6JJVJ6SJB3JFPXZF3LTM75DQ	L002
BGITI6RTVFBY7E63YJHOITULFU	L004
BGITI6RTVFBY7E63YJHOITULFU	L001
BGITI6RTVFBY7E63YJHOITULFU	L003
BGITI6RTVFBY7E63YJHOITULFU	L002
YH4N2ORKOFFY3FTFXO3ZXKYW5I	L004
YH4N2ORKOFFY3FTFXO3ZXKYW5I	L001
YH4N2ORKOFFY3FTFXO3ZXKYW5I	L003
YH4N2ORKOFFY3FTFXO3ZXKYW5I	L002
XG4ZUN4ZGBFWRD3DW7FVGPTJ6A	L004
XG4ZUN4ZGBFWRD3DW7FVGPTJ6A	L001
XG4ZUN4ZGBFWRD3DW7FVGPTJ6A	L003
XG4ZUN4ZGBFWRD3DW7FVGPTJ6A	L002
JOMDM57TLNHANBRUD3WORZ7A6Q	L004
JOMDM57TLNHANBRUD3WORZ7A6Q	L001
JOMDM57TLNHANBRUD3WORZ7A6Q	L003
JOMDM57TLNHANBRUD3WORZ7A6Q	L002
RINHSJMK3RBDRB34SVYQX6M5QE	L004
RINHSJMK3RBDRB34SVYQX6M5QE	L001
RINHSJMK3RBDRB34SVYQX6M5QE	L003
RINHSJMK3RBDRB34SVYQX6M5QE	L002
W5MB75QA2FBGLGI3CUJYVGNFEE	L004
W5MB75QA2FBGLGI3CUJYVGNFEE	L001
W5MB75QA2FBGLGI3CUJYVGNFEE	L003
W5MB75QA2FBGLGI3CUJYVGNFEE	L002
LUMFBLSXUNDINDRO6ZZP6KULVM	L004
LUMFBLSXUNDINDRO6ZZP6KULVM	L001
LUMFBLSXUNDINDRO6ZZP6KULVM	L003
LUMFBLSXUNDINDRO6ZZP6KULVM	L002
4YQ33HM3JRGKBMJV7IY7UU5AG4	L004
4YQ33HM3JRGKBMJV7IY7UU5AG4	L001
4YQ33HM3JRGKBMJV7IY7UU5AG4	L003
4YQ33HM3JRGKBMJV7IY7UU5AG4	L002
MMBGJU4SWFCNXEJ3WZ2ADAQLSQ	L004
MMBGJU4SWFCNXEJ3WZ2ADAQLSQ	L001
MMBGJU4SWFCNXEJ3WZ2ADAQLSQ	L003
MMBGJU4SWFCNXEJ3WZ2ADAQLSQ	L002
PJTPSC7FMZFE7HBLAHWFM7IYGQ	L004
PJTPSC7FMZFE7HBLAHWFM7IYGQ	L001
PJTPSC7FMZFE7HBLAHWFM7IYGQ	L003
PJTPSC7FMZFE7HBLAHWFM7IYGQ	L002
LEXMNZHRHJAIZMVC6AY6PO2GD4	L004
LEXMNZHRHJAIZMVC6AY6PO2GD4	L001
LEXMNZHRHJAIZMVC6AY6PO2GD4	L003
LEXMNZHRHJAIZMVC6AY6PO2GD4	L002
UT6KBDYVYNBQJABRRXBUPJB6VM	L004
UT6KBDYVYNBQJABRRXBUPJB6VM	L001
UT6KBDYVYNBQJABRRXBUPJB6VM	L003
UT6KBDYVYNBQJABRRXBUPJB6VM	L002
MXIMTGWGQZDR3LB4JTF4KP4PNQ	L004
MXIMTGWGQZDR3LB4JTF4KP4PNQ	L001
MXIMTGWGQZDR3LB4JTF4KP4PNQ	L003
MXIMTGWGQZDR3LB4JTF4KP4PNQ	L002
ZWA2CR4F5NHPXLFKXEFJ2BBGIA	L004
ZWA2CR4F5NHPXLFKXEFJ2BBGIA	L001
ZWA2CR4F5NHPXLFKXEFJ2BBGIA	L003
ZWA2CR4F5NHPXLFKXEFJ2BBGIA	L002
TUAR4IEUHNB4JAW7WF5CMKJW7A	L004
TUAR4IEUHNB4JAW7WF5CMKJW7A	L001
TUAR4IEUHNB4JAW7WF5CMKJW7A	L003
TUAR4IEUHNB4JAW7WF5CMKJW7A	L002
FXAI2TIAQ5BV3NNGCKWYSJ4UNE	L004
FXAI2TIAQ5BV3NNGCKWYSJ4UNE	L001
FXAI2TIAQ5BV3NNGCKWYSJ4UNE	L003
FXAI2TIAQ5BV3NNGCKWYSJ4UNE	L002
LKRLB2XUQNCZDMVAASQ22L4JZQ	L004
LKRLB2XUQNCZDMVAASQ22L4JZQ	L001
LKRLB2XUQNCZDMVAASQ22L4JZQ	L003
LKRLB2XUQNCZDMVAASQ22L4JZQ	L002
A3KIUESRRZBI3CSY3SEM6VOP6I	L004
A3KIUESRRZBI3CSY3SEM6VOP6I	L001
A3KIUESRRZBI3CSY3SEM6VOP6I	L003
A3KIUESRRZBI3CSY3SEM6VOP6I	L002
EACWAY2KVBBKTANC6L3VEVVIRU	L004
EACWAY2KVBBKTANC6L3VEVVIRU	L001
EACWAY2KVBBKTANC6L3VEVVIRU	L003
EACWAY2KVBBKTANC6L3VEVVIRU	L002
