id,alias,instrumentModel,firstCreated,firstPublic,releaseStatus,submissionAccountId,studyId,experimentId,sampleId
ERR15991322,"revseq_run_m2-TPsF65_20251203113919206875","NextSeq 500",2025-12-03T11:50:56,2025-12-03T16:04:49,PUBLIC,Webin-65854,ERP167225,ERX15386428,ERS28304275
ERR15991321,"revseq_run_m2-uSTYZ2_20251203113919253913","NextSeq 500",2025-12-03T11:50:49,2025-12-03T16:04:36,PUBLIC,Webin-65854,ERP167225,ERX15386427,ERS28304274
ERR15991320,"revseq_run_m2-f8rfBe_20251203113919297515","NextSeq 500",2025-12-03T11:50:40,2025-12-03T16:04:52,PUBLIC,Webin-65854,ERP167225,ERX15386426,ERS28304273
ERR15991318,"revseq_run_m2-FXFt6J_20251203113919341487","NextSeq 500",2025-12-03T11:50:33,2025-12-03T16:04:43,PUBLIC,Webin-65854,ERP167225,ERX15386424,ERS28304272
ERR15991317,"revseq_run_m2-U2wv8C_20251203113919385065","NextSeq 500",2025-12-03T11:50:26,2025-12-03T16:04:37,PUBLIC,Webin-65854,ERP167225,ERX15386423,ERS28304271
ERR15991316,"revseq_run_m2-6z2wf2_20251203113919428170","NextSeq 500",2025-12-03T11:50:17,2025-12-03T16:04:46,PUBLIC,Webin-65854,ERP167225,ERX15386422,ERS28304270
ERR15991315,"revseq_run_m2-5cJWyf_20251203113919471420","NextSeq 500",2025-12-03T11:49:59,2025-12-03T16:04:37,PUBLIC,Webin-65854,ERP167225,ERX15386421,ERS28304269
ERR15991314,"revseq_run_m2-sFFUfJ_20251203113919521008","NextSeq 500",2025-12-03T11:49:52,2025-12-03T16:04:49,PUBLIC,Webin-65854,ERP167225,ERX15386420,ERS28304268
ERR15991313,"revseq_run_m2-3p7s5a_20251203113919566163","NextSeq 500",2025-12-03T11:49:44,2025-12-03T16:04:43,PUBLIC,Webin-65854,ERP167225,ERX15386419,ERS28304267
ERR15991311,"revseq_run_m2-ztFGoy_20251203113919614850","NextSeq 500",2025-12-03T11:49:32,2025-12-03T16:04:46,PUBLIC,Webin-65854,ERP167225,ERX15386417,ERS28304266
ERR15991310,"revseq_run_m2-qeHUBn_20251203113919666047","NextSeq 500",2025-12-03T11:49:25,2025-12-03T16:04:44,PUBLIC,Webin-65854,ERP167225,ERX15386416,ERS28304265
ERR15991309,"revseq_run_m2-bpDXvz_20251203113919711433","NextSeq 500",2025-12-03T11:49:17,2025-12-03T16:04:42,PUBLIC,Webin-65854,ERP167225,ERX15386415,ERS28304264
ERR15991308,"revseq_run_m2-wVBQbT_20251203113919758211","NextSeq 500",2025-12-03T11:49:10,2025-12-03T16:04:50,PUBLIC,Webin-65854,ERP167225,ERX15386414,ERS28304263
ERR15991307,"revseq_run_m2-33tHNX_20251203113919803224","NextSeq 500",2025-12-03T11:48:59,2025-12-03T16:04:55,PUBLIC,Webin-65854,ERP167225,ERX15386413,ERS28304262
ERR15991306,"revseq_run_m2-qWgDtq_20251203113919849936","NextSeq 500",2025-12-03T11:48:52,2025-12-03T16:04:36,PUBLIC,Webin-65854,ERP167225,ERX15386412,ERS28304261
ERR15991305,"revseq_run_m2-8ochGa_20251203113919896906","NextSeq 500",2025-12-03T11:48:43,2025-12-03T16:04:50,PUBLIC,Webin-65854,ERP167225,ERX15386411,ERS28304260
