Aeromonas phage 50AhydR13PP,2163978,Aeromonas phage 50AhydR13PP
Aeromonas phage 60AhydR15PP,2163979,Aeromonas phage 60AhydR15PP
Aeromonas phage phiAS4,879628,Aeromonas phage phiAS4
Aeromonas phage AS-gz,2026082,Aeromonas phage AS-gz
Aeromonas phage Aeh1,2880362,Aeromonas phage Aeh1
Aeromonas phage Ah1,2053701,Aeromonas phage Ah1
Escherichia phage JSE,576789,Escherichia phage JSE
Escherichia virus KFS-EC,2250214,Escherichia virus KFS-EC
Escherichia phage ECD7,1981499,Escherichia phage ECD7
Escherichia phage RB49,50948,Escherichia phage RB49
Escherichia phage Phi1,448384,Escherichia phage Phi1
Enterobacteria phage GEC-3S,1222338,Enterobacteria phage GEC-3S
Proteus phage phiP4-3,2065203,Proteus phage phiP4-3
Proteus phage vB_PmiM_Pm5461,1636250,Proteus phage vB_PmiM_Pm5461
Proteus phage PM2,2025809,Proteus phage PM2
Enterobacter phage phiEap-3,1682394,Enterobacter phage phiEap-3
Escherichia phage phT4A,1852638,Escherichia phage phT4A
Klebsiella phage Matisse,1675607,Klebsiella phage Matisse
Klebsiella phage KP27,1129147,Klebsiella phage KP27
Klebsiella phage Miro,1675608,Klebsiella phage Miro
Klebsiella phage KP15,707757,Klebsiella phage KP15
Klebsiella phage PMBT1,1880822,Klebsiella phage PMBT1
Vibrio phage nt-1,115992,Vibrio phage nt-1
Aeromonas phage phiAS5,879630,Aeromonas phage phiAS5
Aeromonas phage 44RR2.8t,2907963,Aeromonas phage 44RR2.8t
Aeromonas phage 31,321023,Aeromonas phage 31
Aeromonas phage PX29,926067,Aeromonas phage PX29
Pseudomonas phage PspYZU05,1983556,Pseudomonas phage PspYZU05
Morganella phage vB_MmoM_MP1,1852628,Morganella phage vB_MmoM_MP1
Cronobacter phage LPCS28,2924885,Cronobacter phage LPCS28
Escherichia phage phiE142,1777059,Escherichia phage phiE142
Synechococcus phage ACG-2014f_Syn7803C8,2790336,Synechococcus phage ACG-2014f_Syn7803C8
Synechococcus phage ACG-2014f,1493511,Synechococcus phage ACG-2014f
Synechococcus phage ACG-2014f_Syn7803US26,2790346,Synechococcus phage ACG-2014f_Syn7803US26
Synechococcus phage ACG-2014f_Syn7803C7,2790345,Synechococcus phage ACG-2014f_Syn7803C7
Prochlorococcus phage P-SSM3,536453,Prochlorococcus phage P-SSM3
Prochlorococcus phage P-SSM4,268747,Prochlorococcus phage P-SSM4
Cyanophage S-RIM50,687803,Cyanophage S-RIM50
Synechococcus phage S-RIM8 A.HR1,869724,Synechococcus phage S-RIM8 A.HR1
Synechococcus phage S-RIM8,756278,Synechococcus phage S-RIM8
Cyanophage S-RIM44,1278485,Cyanophage S-RIM44
Prochlorococcus phage Syn1,444861,Prochlorococcus phage Syn1
Prochlorococcus phage P-SSM2,268746,Prochlorococcus phage P-SSM2
Synechococcus phage ACG-2014i,1493513,Synechococcus phage ACG-2014i
Synechococcus phage ACG-2014e,1493510,Synechococcus phage ACG-2014e
Synechococcus phage ACG-2014j,1493514,Synechococcus phage ACG-2014j
Synechococcus phage S-CAM4,1883367,Synechococcus phage S-CAM4
Synechococcus phage S-SRM01,2781608,Synechococcus phage S-SRM01
Synechococcus phage S-SSM7,445686,Synechococcus phage S-SSM7
Synechococcus phage S-SCSM1,2588487,Synechococcus phage S-SCSM1
Prochlorococcus phage Syn33,444878,Prochlorococcus phage Syn33
Cyanophage S-RIM12 isolate RW_01_0310,2790347,Cyanophage S-RIM12 isolate RW_01_0310
Cyanophage S-RIM12 isolate W1_08_0910,2790660,Cyanophage S-RIM12 isolate W1_08_0910
Cyanophage S-RIM12 isolate RW_06_0310,2790659,Cyanophage S-RIM12 isolate RW_06_0310
Synechococcus phage S-CAM7,1883368,Synechococcus phage S-CAM7
Synechococcus phage Bellamy,2023996,Synechococcus phage Bellamy
Prochlorococcus phage P-TIM68,1542477,Prochlorococcus phage P-TIM68
Synechococcus phage S-CAM1,754037,Synechococcus phage S-CAM1
Synechococcus phage S-PM2,238854,Synechococcus phage S-PM2
Synechococcus phage Syn30,536474,Synechococcus phage Syn30
Synechococcus phage S-P4,2484640,Synechococcus phage S-P4
Synechococcus phage S-CAM3,1883366,Synechococcus phage S-CAM3
Cyanophage P-TIM40,1589733,Cyanophage P-TIM40
Synechococcus phage S-SM2,444860,Synechococcus phage S-SM2
Synechococcus phage S-WAM1,1815521,Synechococcus phage S-WAM1
Synechococcus phage S-SSM4,536466,Synechococcus phage S-SSM4
Prochlorococcus phage P-RSM4,444862,Prochlorococcus phage P-RSM4
Cyanophage S-TIM4,1048189,Cyanophage S-TIM4
Synechococcus phage S-H38,2783673,Synechococcus phage S-H38
Synechococcus phage S-SZBM1,2926475,Synechococcus phage S-SZBM1
Synechococcus phage ACG-2014h,1340810,Synechococcus phage ACG-2014h
Prochlorococcus phage P-SSM7,445688,Prochlorococcus phage P-SSM7
Synechococcus phage ACG-2014d,1493509,Synechococcus phage ACG-2014d
Cyanophage S-RIM32,1278479,Cyanophage S-RIM32
Synechococcus phage S-ShM2,445683,Synechococcus phage S-ShM2
Synechococcus phage S-T4,2268578,Synechococcus phage S-T4
Synechococcus phage S-H9-2,2783669,Synechococcus phage S-H9-2
Synechococcus phage syn9,382359,Synechococcus phage syn9
Synechococcus phage S-CAM22,1883365,Synechococcus phage S-CAM22
Synechococcus phage S-H35,1983572,Synechococcus phage S-H35
Synechococcus phage S-B64,2163901,Synechococcus phage S-B64
Synechococcus phage S-SSM5,445685,Synechococcus phage S-SSM5
Cyanophage P-RSM1,536444,Cyanophage P-RSM1
Synechococcus phage Syn19,445684,Synechococcus phage Syn19
Synechococcus phage S-H9-1,2783674,Synechococcus phage S-H9-1
Synechococcus phage metaG-MbCM1,1079999,Synechococcus phage metaG-MbCM1
Synechococcus phage S-SM1,444859,Synechococcus phage S-SM1
Synechococcus phage S-RIM2 R1_1999,869662,Synechococcus phage S-RIM2 R1_1999
Synechococcus phage S-IOM18,754039,Synechococcus phage S-IOM18
Synechococcus phage S-RSM4,555387,Synechococcus phage S-RSM4
Synechococcus phage S-CAM9,1883369,Synechococcus phage S-CAM9
Synechococcus phage S-MbCM6,3126011,Synechococcus phage S-MbCM6
Synechococcus phage S-N03,2718943,Synechococcus phage S-N03
Synechococcus phage S-H34,2718942,Synechococcus phage S-H34
Synechococcus phage S-WAM2,1815522,Synechococcus phage S-WAM2
Synechococcus phage ACG-2014b,1493508,Synechococcus phage ACG-2014b
Synechococcus phage S-MbCM100,1340812,Synechococcus phage S-MbCM100
Synechococcus phage ACG-2014g,1493512,Synechococcus phage ACG-2014g
Synechococcus phage S-CAM8,754038,Synechococcus phage S-CAM8
Synechococcus virus S-PRM1,2100130,Synechococcus virus S-PRM1
Escherichia phage K30,1041524,Escherichia phage K30
Klebsiella phage KN3-1,2282630,Klebsiella phage KN3-1
Klebsiella phage vB_KpnP_IME205,1770232,Klebsiella phage vB_KpnP_IME205
Klebsiella phage vB_KpnP_KpV767,1897430,Klebsiella phage vB_KpnP_KpV767
Klebsiella phage KN1-1,2282629,Klebsiella phage KN1-1
Klebsiella phage KN4-1,2282631,Klebsiella phage KN4-1
Klebsiella phage Henu1,2492437,Klebsiella phage Henu1
Klebsiella phage KP32,674082,Klebsiella phage KP32
Klebsiella phage K11,532077,Klebsiella phage K11
Klebsiella phage K5,1647374,Klebsiella phage K5
Klebsiella phage vB_KpnP_IME321,2268396,Klebsiella phage vB_KpnP_IME321
Klebsiella phage KP32_isolate 195,2790306,Klebsiella phage KP32_isolate 195
Klebsiella phage kpssk3,2488949,Klebsiella phage kpssk3
Klebsiella phage KP32_isolate 196,2790307,Klebsiella phage KP32_isolate 196
Klebsiella phage KP32_isolate 194,2790305,Klebsiella phage KP32_isolate 194
Klebsiella phage K5-2,1932361,Klebsiella phage K5-2
Klebsiella phage SH-Kp 152410,2066504,Klebsiella phage SH-Kp 152410
Klebsiella phage K5-4,1932362,Klebsiella phage K5-4
Klebsiella phage vB_Kp1,1701804,Klebsiella phage vB_Kp1
Klebsiella phage vB_KpnP_KpV763,1882400,Klebsiella phage vB_KpnP_KpV763
Klebsiella phage SH-Kp 152234,1958964,Klebsiella phage SH-Kp 152234
Klebsiella phage Pharr,2562178,Klebsiella phage Pharr
Klebsiella phage KP32_isolate 192,2790304,Klebsiella phage KP32_isolate 192
Klebsiella phage 2044-307w,2024247,Klebsiella phage 2044-307w
Klebsiella phage vB_KpnP_PRA33,1907781,Klebsiella phage vB_KpnP_PRA33
Klebsiella phage vB_KpnP_KpV289,1671396,Klebsiella phage vB_KpnP_KpV289
